pressureVal,model,term,beta,SE,z,p,CI95_lo,CI95_hi
1,BIN1,(Intercept),0.570758383,0.033912,16.83057256,0,0.504290862,0.637225903
1,BIN1,focal_beforeEvent,0.242483687,0.041302033,5.870986711,4.33E-09,0.161531702,0.323435672
1,BIN1,personalBN_focal_energy,-0.795303716,0.067466134,-11.78819166,0,-0.927537338,-0.663070094
1,BIN1,personalBN_nonfocal_energy,-0.331110232,0.034999591,-9.460402858,0,-0.39970943,-0.262511033
1,BIN1,social_energy,-0.88306296,0.042582029,-20.73792582,0,-0.966523736,-0.799602183
1,BIN1,bn_abs_meanedge_focal,-0.137207526,0.049381,-2.778548967,0.005460228,-0.233994286,-0.040420766
1,BIN1,nr_balanced_triangles_focal,0.154958696,0.042415356,3.65336307,0.000258828,0.071824598,0.238092793
1,BIN1,bn_avg_weighted_clustering,0.156329552,0.03617966,4.320923745,1.55E-05,0.085417418,0.227241685
2,BIN1,(Intercept),-1.161379555,0.034829903,-33.34432315,0,-1.229646166,-1.093112944
2,BIN1,focal_beforeEvent,0.177876325,0.047424446,3.750730653,0.00017632,0.08492441,0.27082824
2,BIN1,personalBN_focal_energy,-0.63253417,0.075642998,-8.362098116,0,-0.780794446,-0.484273894
2,BIN1,personalBN_nonfocal_energy,-0.345465955,0.034312728,-10.06815779,0,-0.412718901,-0.278213009
2,BIN1,social_energy,-0.12516771,0.036415686,-3.437192113,0.000587779,-0.196542456,-0.053792965
2,BIN1,bn_abs_meanedge_focal,-0.123198613,0.060833223,-2.025186375,0.04284823,-0.24243173,-0.003965497
2,BIN1,nr_balanced_triangles_focal,0.13765179,0.044077782,3.122929116,0.001790609,0.051259337,0.224044244
2,BIN1,bn_avg_weighted_clustering,0.195571833,0.036527734,5.35406419,8.60E-08,0.123977474,0.267166191
4,BIN1,(Intercept),-1.857887077,0.043831238,-42.38728316,0,-1.943796303,-1.771977852
4,BIN1,focal_beforeEvent,-0.051858063,0.059071525,-0.877885978,0.380005599,-0.167638251,0.063922125
4,BIN1,personalBN_focal_energy,-0.271358359,0.090707578,-2.991573198,0.00277544,-0.449145212,-0.093571506
4,BIN1,personalBN_nonfocal_energy,-0.459433702,0.038998613,-11.78077042,0,-0.535870983,-0.382996421
4,BIN1,social_energy,0.102177311,0.04185861,2.441010582,0.014646226,0.020134435,0.184220187
4,BIN1,bn_abs_meanedge_focal,-0.109077864,0.074752754,-1.459181865,0.144515059,-0.255593262,0.037437535
4,BIN1,nr_balanced_triangles_focal,0.309799349,0.052456983,5.905779018,3.51E-09,0.206983662,0.412615035
4,BIN1,bn_avg_weighted_clustering,0.214810657,0.042241507,5.085298184,3.67E-07,0.132017304,0.297604009
8,BIN1,(Intercept),-1.887371111,0.043996157,-42.89854482,0,-1.973603578,-1.801138643
8,BIN1,focal_beforeEvent,0.046862792,0.05651128,0.829264383,0.40695482,-0.063899317,0.1576249
8,BIN1,personalBN_focal_energy,-0.292884871,0.093039176,-3.14797362,0.001644065,-0.475241655,-0.110528086
8,BIN1,personalBN_nonfocal_energy,-0.473701207,0.039124251,-12.10761086,0,-0.55038474,-0.397017675
8,BIN1,social_energy,0.089106216,0.042715462,2.086041268,0.036974885,0.005383911,0.172828522
8,BIN1,bn_abs_meanedge_focal,-0.235735401,0.076632954,-3.076162255,0.002096837,-0.385935992,-0.085534811
8,BIN1,nr_balanced_triangles_focal,0.245806331,0.0523822,4.692554557,2.70E-06,0.143137219,0.348475444
8,BIN1,bn_avg_weighted_clustering,0.228591374,0.042252811,5.410086811,6.30E-08,0.145775865,0.311406883
16,BIN1,(Intercept),-1.881156918,0.043695688,-43.05131705,0,-1.966800467,-1.79551337
16,BIN1,focal_beforeEvent,0.100735704,0.054572449,1.845907697,0.064905609,-0.006226296,0.207697703
16,BIN1,personalBN_focal_energy,-0.241558695,0.09236202,-2.615346593,0.008913695,-0.422588254,-0.060529135
16,BIN1,personalBN_nonfocal_energy,-0.462591795,0.03899439,-11.86303449,0,-0.5390208,-0.386162791
16,BIN1,social_energy,0.102139223,0.043055518,2.37226791,0.017679266,0.017750408,0.186528038
16,BIN1,bn_abs_meanedge_focal,-0.254879474,0.075690433,-3.367393511,0.000758823,-0.403232724,-0.106526225
16,BIN1,nr_balanced_triangles_focal,0.281951516,0.05225811,5.395363819,6.84E-08,0.17952562,0.384377412
16,BIN1,bn_avg_weighted_clustering,0.182876779,0.042073479,4.346604605,1.38E-05,0.100412759,0.265340798
