pressureVal,model,term,beta,SE,z,p,CI95_lo,CI95_hi
1,BIN1,(Intercept),0.454180995,0.030302178,14.98839419,0,0.394788725,0.513573265
1,BIN1,focal_beforeEvent,-0.241847156,0.030757429,-7.863048529,3.77E-15,-0.302131716,-0.181562595
1,BIN1,n_neighbours,-0.114930688,0.030201159,-3.805505887,0.000141515,-0.174124959,-0.055736417
1,BIN1,bn_abs_meanedge_focal,-0.043689814,0.030568941,-1.429222336,0.15294034,-0.103604939,0.016225311
1,BIN1,nr_balanced_triangles_focal,0.338612637,0.033997998,9.959781645,0,0.271976561,0.405248714
1,BIN1,bn_avg_weighted_clustering,0.164712838,0.033387762,4.933329695,8.08E-07,0.099272825,0.230152852
2,BIN1,(Intercept),-1.177761061,0.035249593,-33.4120474,0,-1.246850263,-1.10867186
2,BIN1,focal_beforeEvent,-0.096902943,0.037277242,-2.599520156,0.00933542,-0.169966338,-0.023839548
2,BIN1,n_neighbours,-0.455396325,0.03558328,-12.79804236,0,-0.525139553,-0.385653096
2,BIN1,bn_abs_meanedge_focal,0.228076402,0.033995217,6.709073182,1.96E-11,0.161445775,0.294707028
2,BIN1,nr_balanced_triangles_focal,0.379372748,0.037563224,10.09957897,0,0.305748829,0.452996668
2,BIN1,bn_avg_weighted_clustering,0.272255406,0.036097025,7.542322564,4.62E-14,0.201505237,0.343005575
4,BIN1,(Intercept),-1.906909019,0.045743208,-41.68726065,0,-1.996565706,-1.817252332
4,BIN1,focal_beforeEvent,-0.120884421,0.047240927,-2.558891777,0.010500643,-0.213476638,-0.028292203
4,BIN1,n_neighbours,-0.583993306,0.043558651,-13.40705661,0,-0.669368263,-0.498618349
4,BIN1,bn_abs_meanedge_focal,0.095189028,0.04110086,2.315986288,0.020559017,0.014631343,0.175746714
4,BIN1,nr_balanced_triangles_focal,0.465822837,0.045264212,10.2911952,0,0.377104982,0.554540692
4,BIN1,bn_avg_weighted_clustering,0.322139813,0.042113527,7.649319194,2.02E-14,0.2395973,0.404682327
8,BIN1,(Intercept),-1.901399257,0.044742249,-42.49673002,0,-1.989094065,-1.81370445
8,BIN1,focal_beforeEvent,-0.024843919,0.043839575,-0.566700721,0.570917531,-0.110769485,0.061081648
8,BIN1,n_neighbours,-0.511794668,0.043043663,-11.89012815,0,-0.596160247,-0.427429089
8,BIN1,bn_abs_meanedge_focal,-0.026473649,0.04206796,-0.629306705,0.529148283,-0.108926851,0.055979552
8,BIN1,nr_balanced_triangles_focal,0.397889528,0.044873307,8.866953448,0,0.309937846,0.485841211
8,BIN1,bn_avg_weighted_clustering,0.341553589,0.041789341,8.173222674,2.22E-16,0.259646481,0.423460698
16,BIN1,(Intercept),-1.915238146,0.045117542,-42.44996685,0,-2.003668528,-1.826807765
16,BIN1,focal_beforeEvent,0.049225924,0.041794524,1.177807981,0.238873166,-0.032691343,0.131143192
16,BIN1,n_neighbours,-0.558784516,0.043555967,-12.82911519,0,-0.644154211,-0.473414821
16,BIN1,bn_abs_meanedge_focal,-0.086120978,0.042753142,-2.014377758,0.043969888,-0.169917136,-0.00232482
16,BIN1,nr_balanced_triangles_focal,0.4173736,0.045098853,9.254638849,0,0.328979848,0.505767353
16,BIN1,bn_avg_weighted_clustering,0.295972895,0.0417013,7.097450113,1.27E-12,0.214238347,0.377707442
